province_state,country_region,last_update,lat,long,confirmed,deaths,recovered,active,fips,incident_rate,people_tested,people_hospitalized,mortality_rate,uid,iso3,testing_rate,hospitalization_rate
Oklahoma,US,8/27/20 12:30,35.5653,-96.9289,54838,763,46414,7661,40,1385.858021,837384,4609,1.391370947,84000040,USA,21162.24759,8.404755826
Oregon,US,8/27/20 12:30,44.572,-122.0709,25571,433,4747,20391,41,606.2729848,532738,2063,1.693324469,84000041,USA,12630.89662,8.067732979
Pennsylvania,US,8/27/20 12:30,40.5908,-77.2098,135279,7613,105734,21932,42,1056.702986,1588178,,5.627628826,84000042,USA,12405.71289,
Puerto Rico,US,8/27/20 12:30,18.2208,-66.5901,31383,412,,30971,72,1069.847768,336716,,1.312812669,630,PRI,11478.66236,
Rhode Island,US,8/27/20 12:30,41.6809,-71.5118,21454,1041,2069,18344,44,2025.183106,485026,2478,4.852242006,84000044,USA,45784.77025,11.55029365
South Carolina,US,8/27/20 12:30,33.8569,-80.945,114093,2573,51431,60089,45,2215.951401,910079,7598,2.255177794,84000045,USA,17675.85071,6.659479547
South Dakota,US,8/27/20 12:30,44.2998,-99.4388,11571,162,9896,1513,46,1307.961599,137765,981,1.400051854,84000046,USA,15572.66698,8.478091781
Tennessee,US,8/27/20 12:30,35.7478,-86.6923,147353,1648,109765,35940,47,2157.69872,2102121,6603,1.118402747,84000047,USA,30781.4825,4.481076055
Texas,US,8/27/20 12:30,31.0545,-97.5635,610648,12140,472421,126087,48,2105.981881,4764640,,1.988052037,84000048,USA,16432.12703,
Utah,US,8/27/20 12:30,40.15,-111.8624,50174,401,41937,7836,49,1565.023622,637329,2996,0.799218719,84000049,USA,19879.51807,5.971220154
Vermont,US,8/27/20 12:30,44.0459,-72.7107,1577,58,1388,131,50,252.7288141,122841,,3.677869372,84000050,USA,19686.40473,
Virgin Islands,US,8/27/20 12:30,18.3358,-64.8963,1030,14,801,215,78,960.2118059,14965,,1.359223301,850,VIR,13951.03852,
Virginia,US,8/27/20 12:30,37.7693,-78.17,115448,2515,14682,98251,51,1352.559815,1507542,15852,2.178469961,84000051,USA,17661.984,13.73085718
Washington,US,8/27/20 12:30,47.4009,-121.4905,72161,1880,,70281,53,947.6298616,1380104,6595,2.605285403,84000053,USA,18123.74777,9.139285764
West Virginia,US,8/27/20 12:30,38.4912,-80.9545,9544,190,7601,1753,54,532.5456003,409605,,1.990779547,84000054,USA,22855.54701,
Wisconsin,US,8/27/20 12:30,44.2685,-89.6165,72260,1100,63730,7430,55,1241.061728,1215673,5651,1.522280653,84000055,USA,20879.12031,7.820370883
Wyoming,US,8/27/20 12:30,42.756,-107.3025,3680,37,3028,615,56,635.8432439,70578,213,1.005434783,84000056,USA,12194.71317,5.788043478
Cherkasy Oblast,Ukraine,8/27/20 12:30,49.4444,32.0598,1318,38,912,368,,109.2551007,,,2.883156297,80401,UKR,,
Chernihiv Oblast,Ukraine,8/27/20 12:30,51.4982,31.2893,1618,22,564,1032,,160.8757687,,,1.359703337,80402,UKR,,
Chernivtsi Oblast,Ukraine,8/27/20 12:30,48.2917,25.9352,9700,270,6029,3401,,1072.565111,,,2.783505155,80403,UKR,,
Crimea Republic*,Ukraine,8/27/20 12:30,45.2835,34.2008,2131,28,1557,546,,111.353163,,,1.313937119,80404,UKR,,
Dnipropetrovsk Oblast,Ukraine,8/27/20 12:30,48.4647,35.0462,2095,44,1193,858,,65.33650483,,,2.100238663,80405,UKR,,
Donetsk Oblast,Ukraine,8/27/20 12:30,48.0159,37.8028,1278,20,857,401,,30.67763732,,,1.564945227,80406,UKR,,
Ivano-Frankivsk Oblast,Ukraine,8/27/20 12:30,48.9226,24.7111,8485,204,3098,5183,,617.8763985,,,2.404242781,80407,UKR,,
