province_state,country_region,last_update,lat,long,confirmed,deaths,recovered,active,fips,incident_rate,people_tested,people_hospitalized,mortality_rate,uid,iso3,testing_rate,hospitalization_rate
Sumy Oblast,Ukraine,8/27/20 12:30,50.9077,34.7981,1302,20,570,712,,120.3974781,,,1.53609831,80421,UKR,,
Ternopil Oblast,Ukraine,8/27/20 12:30,49.5535,25.5948,5245,61,2882,2302,,501.4920464,,,1.163012393,80422,UKR,,
Vinnytsia Oblast,Ukraine,8/27/20 12:30,49.2331,28.4682,3736,77,2698,961,,239.4267089,,,2.061027837,80423,UKR,,
Volyn Oblast,Ukraine,8/27/20 12:30,50.7472,25.3254,5268,116,3766,1386,,508.8232737,,,2.201974184,80424,UKR,,
Zakarpattia Oblast,Ukraine,8/27/20 12:30,48.6208,22.2879,7225,252,3125,3848,,574.8717777,,,3.487889273,80425,UKR,,
Zaporizhia Oblast,Ukraine,8/27/20 12:30,47.8388,35.1396,1454,25,818,611,,85.23679885,,,1.719394773,80426,UKR,,
Zhytomyr Oblast,Ukraine,8/27/20 12:30,50.2547,28.6587,2998,61,1794,1143,,245.6988362,,,2.034689793,80427,UKR,,
Anguilla,United Kingdom,8/27/20 12:30,18.2206,-63.0686,3,0,3,0,,19.99733369,,,0,660,AIA,,
Bermuda,United Kingdom,8/27/20 12:30,32.3078,-64.7505,168,9,151,8,,269.7798404,,,5.357142857,60,BMU,,
British Virgin Islands,United Kingdom,8/27/20 12:30,18.4207,-64.64,26,1,8,17,,85.98736647,,,3.846153846,92,VGB,,
Cayman Islands,United Kingdom,8/27/20 12:30,19.3133,-81.2546,205,1,202,2,,311.9293974,,,0.487804878,136,CYM,,
Channel Islands,United Kingdom,8/27/20 12:30,49.3723,-2.3644,623,48,545,30,,365.3980375,,,7.704654896,8261,GBR,,
England,United Kingdom,8/27/20 12:30,52.3555,-1.1743,284155,36818,,247337,,507.6263193,,,12.9570129,82601,GBR,,
Falkland Islands (Malvinas),United Kingdom,8/27/20 12:30,-51.7963,-59.5236,13,0,13,0,,373.2414585,,,0,238,FLK,,
Gibraltar,United Kingdom,8/27/20 12:30,36.1408,-5.3536,270,0,203,67,,801.4009676,,,0,292,GIB,,
Isle of Man,United Kingdom,8/27/20 12:30,54.2361,-4.5481,336,24,312,0,,395.145357,,,7.142857143,833,IMN,,
Montserrat,United Kingdom,8/27/20 12:30,16.742498,-62.187366,13,1,12,0,,260.0520104,,,7.692307692,500,MSR,,
Northern Ireland,United Kingdom,8/27/20 12:30,54.7877,-6.4923,6895,559,,6336,,366.4434524,,,8.107324148,82602,GBR,,
Scotland,United Kingdom,8/27/20 12:30,56.4907,-4.2026,19988,2494,,17494,,365.8594622,,,12.47748649,82603,GBR,,
Turks and Caicos Islands,United Kingdom,8/27/20 12:30,21.694,-71.7979,464,3,102,359,,1198.409009,,,0.646551724,796,TCA,,
Unknown,United Kingdom,8/27/20 12:30,,,0,0,,0,,,,,,82605,GBR,,
Wales,United Kingdom,8/27/20 12:30,52.1307,-3.7837,17808,1594,,16214,,567.3867329,,,8.951033243,82604,GBR,,
